Deyimler;Türkçe Anlamı;İngilizce Anlamı
Dili tutulmak;Herhangi bir sebepten ötürü söz söyleyemez duruma gelmek;To be able to say for any reason
Dili uzun;İncitici, kırıcı sözler söyleyen, saygısız kimse;Disrespectful
Dili varmamak;Bir sözü söylemeye gönlü razı olmamak;Not to be willing to say a word
Dilinden kurtulamamak;Yaptığı bir kabahatten ötürü sürekli olarak, bir kimsenin sitem, eleştiri ve sataşmalarına uğramak;Because of a misdemeanor, a person's reproach, criticism and taunting
Dilinde tüy bitmek;Sık sık söylemekten bıkmak, usanmak;Tired of singing often, getting tired
Dilinin ucuna gelmek;Hatırladığı şeyi söyleyecekken yine unutuvermek;Forget again when to say what he remembers
Dilini tutmak;Sonunu düşünerek gelişigüzel konuşmaktan sakınmak, ölçülü konuşmak, rast gele konuşmamak;Avoiding randomly by thinking about the end, talking moderately, not talking randomly
Diline pelesenk etmek;Bir sözü her zaman, yerli yersiz tekrarlamak;Always repeat a word, indigenously
Dinden imandan çıkmak;Çok sinirlenmek, öfkelenmek, kızgınlık duymak;Getting very angry, getting angry, having anger
Dini bütün;Dinin emirlerini eksiksiz yerine getirmeye çalışan, inancı sağlam olan, dinine çok bağlı;Trying to fulfill the orders of religion completely, whose belief is intact, is very attached to his religion.
Dirsek çürütmek;Okumak, öğrenim görmek için uzun yıllar çalışmak;Working for many years to read, study
Diş bilemek;"Öç almak, kötülük yapmak için fırsat kollamak; öfkesini gösterir durum almak";"To take revenge, to look for an opportunity to do evil; take a position to show anger"
Diş geçirememek;Etkisiz kalmak, güç yetirememek, hükmünü yürütüp sözünü dinletememek;To be ineffective, not being able to strengthen, not being able to carry out the judgment and listen
Dişe dokunur;Hatırı sayılır, işe yarar, belirtilmeye değer, önemli;Considerably, useful, worth specifying, important
Dişinden tırnağından artırmak;Yiyeceğinden, içeceğinden vb. ihtiyaçlarından keserek zorla biriktirmek;Food, drink and so on. forcibly accumulating by cutting them
Dişine göre;Yapabileceği, gücünün yeteceği, becerebileceği, uygun bir durumda;In a suitable situation that he can do, his power is enough
Dişini sıkmak;"Darlığa, sıkıntıya dayanmak; her türlü zorluğa katlanmak";"To be based on stenosis, distress; To endure all kinds of difficulties"
Dize getirmek;Kendisine karşı geleni alt ederek buyruğunu dinler duruma getirmek, boyun eğdirmek;To listen to his commandment by defeating the one who oppose him, to subjugate
Dizginleri ele almak;Yönetimi ele geçirmek, işi kendisi yönetmeye başlamak;Seizing management, starting to manage the business itself
Dizini dövmek;Çok pişman olmak;Regret
Dizinin bağı çözülmek;Korkudan, heyecandan, yorgunluktan ayakta duramayacak hâle gelmek;To come out of fear, excitement, fatigue
Dokuz doğurmak;Merakla, heyecanla, sabırsızlıkla, sıkıntı çekerek beklemek;Waiting with curiosity, excitement, impatiently, suffering
Dolap çevirmek;Hile, düzen ve dalavere ile iş yapmak;Doing business with cheating, order and dalavere
Dolu dizgin;Önüne geçilemeyecek biçimde, çok fazla olarak;As much as it cannot be prevented
Doluya koydum almadı, boşa koydum dolmadı;İçinden çıkılamayan güç bir durum;A power that cannot be out of it
Dostlar alışverişte görsün;"Gösteriş olsun; amaç iş yapıyor görünmek, iş yapmak değil";"Let it show off; The goal is to be doing business, not to do business"
Dört ayak üstüne düşmek;Tehlikeli bir durumdan hiç zarar görmeden kurtulmak;Get rid of a dangerous situation without any harm
Dört dönmek;Bir işi yapmak için korku, heyecan, telâş, şaşkınlık içinde sağa sola koşmak, çare aramak;To do a job to do a job, to run left and right in astonishment, search for a remedy
Dört elle sarılmak;Yapacağı işe büyük bir önem verip özen göstererek girişmek;To engage in the work he will do with great importance and pay attention
Dört gözle beklemek;Özleyerek, çok isteyerek, büyük bir sabırsızlıkla beklemek;Missing, very willingly, waiting for great impatience
Dudak bükmek;Umursamamak, beğenmemek, küçümsemek;Not to care, not to like, to underestimate
Dudak ısırtmak;Hayran bırakmak;Admire
Dumanı üstünde;Çok taze;Very fresh
Dut yemiş bülbüle dönmek;"Susmak; konuşkanlığını, sevincini, neşesini yitirmek; sesi çıkmaz olmak";"Shut up; to lose his talk, joy, joy; be out of a sound"
Düğün evi gibi;Çok kalabalık ve telâşlı görülen yer;Very crowded and pronounced place
Dümen çevirmek;Düzen kurup, hileli iş yapmak;Establishing order and doing fraudulent business
Dünya başına yıkılmak;Dara düşmek, felâkete uğramak, umutlarını yitirmek;Tare falling, disaster, losing hope
Dünya gözü ile;Ölmeden önce, yaşarken;Before you die, while living
Dünyalar onun olmak;Oldukça çok sevinmek;Very happy to be very happy
Dünyanın kaç bucak olduğunu anlamak;Dünyada insanın başına neler gelebileceğini öğrenmek, zorluklarla karşılaşmak, tecrübe kazanmak;Learning what can happen to people in the world, encountering difficulties, gaining experience
Dünyanın öbür ucu;Çok uzak yer;Far away
Dünyayı toz pembe görmek;İyimser olmak, üzücü durumlara bile iyi gözle bakmak;Being optimistic, looking at even sad situations
Düşe kalka;İşi kimi zaman iyi, kimi zaman kötü olarak güçlükle, uğraşa uğraşa (yapmak);Sometimes the work is good, sometimes badly, with difficulty, to be attempt (to do)
Düşman çatlatmak;Nisbet yapmak, iyi durum ve başarılarıyla düşmanı kızdırmak ve kıskandırmak;To make proportions, to annoy the enemy with good situations and achievements
Ecel teri dökmek;Çok korkmak, heyecan içinde bulunup terlemek, korku ve bunalım içinde olmak;To be very scared, to be in excitement and sweat, to be in fear and depression
Eceline susamak;Ölümüne yol açacak kadar tehlikeli işlere girişmek;Engaging in dangerous jobs to lead to death
Eciş bücüş;Çarpuk çurpuk, eğri büğrü, düzgün yanı olmayan, çirkin bir biçim almış bulunan;Murdered churpuk, curved, without properly, has taken an ugly form
Efkâr dağıtmak;Sıkıntıyı gidermek, üzüntüyü yok etmeye çalışmak;To eliminate the distress, try to destroy the sadness
Ekmeğinden etmek;İşinden çıkarmak veya atmak;Removing or throwing out of work
Ekmeğine yağ sürmek;Birinin yararına göre eylemde bulunmak, istemese de birinin işine yarayacak biçimde hareket etmek;To act according to the benefit of someone, to act in a way that does not want to work
Ekmeğini kazanmak;Geçimini temin edecek, ihtiyaçlarını karşılayacak parayı kazanmak;Winning the money that will make a living and meet your needs
Ekmeğini taştan çıkarmak;En zor işleri bile yapıp geçimini sağlayacak becerilikte olmak, her türlü işi yapmak;Even the hardest work and being in the skills that will make a living, do all kinds of jobs
Ekmek elden su gölden;Kendisi kazanmayıp başkalarının kazancı ile geçinen;He does not win himself and gets along with the earnings of others
 Ortalıkta kimse kalmamak, ıssızlaşıp sessizleşmek;Çalışıp para kazanılan, geçim sağlayan iş yeri;Workplace that works and earns money
Ekmek parası;Kazanç, geçinmek için kazanılan para;Earnings, money earned to get along
Eksik gedik;Ufak tefek ihtiyaçlar;Little Needs
El açmak;Dilenmek;Begged
El altından;Kimsenin haberi olmadan, gizlice;Without anyone's knowledge, secretly
El atmak;Bir işe girişmek;Take a job
El ayak çekilmek; Ortalıkta kimse kalmamak, ıssızlaşıp sessizleşmek;There's no one around, becoming desolate and becoming silent
Elde avuçta bir şey kalmamak;Parasını, malını, tüm varlığını harcayıp bitirmiş olmak;To spend your money, property, all its existence and finished
Elde etmek;Bir şeye sahip olmak;Have something
Elden ayaktan düşmek;Yaşlılık, hastalık sebebiyle iş yapamaz, yürüyemez, kendi işini göremez duruma gelmek;Old age cannot do business because of illness, can not walk, to be able to see your own business
Elden geçirmek;"Eksiklikleri düzeltmek, onarmak; denetlemek için pek çok şeyi ele alıp yoklamak, gözden geçirmek";"Correcting and repairing deficiencies; To take a lot of things to supervise and check, review"
Ele avuca sığmamak;Söz dinlememek, kural tanımamak, zapt edilememek;Not to listen to words, not to recognize rules, to be conquered
Ele vermek;Bulunduğu yeri haber vererek suçluyu yakalatmak;To capture the criminal by informing the place where it is located
Eli açık;Cömert;Generous
Eli ağır;Oldukça yavaş iş yapan;Pretty slow
Eli altında olmak;İstediği anda ele alıp kullanabileceği bir yerde bulunmak;To be in a place where he can handle and use at any time
Eli ayağı buz kesilmek;Korku, heyecan ve üzüntüden ne yapacağını bilemez duruma gelmek, donup kalmak;Fear, excitement and sadness cannot know what to do, to freeze
Eli ayağı tutmak;İş yapabilecek güçte olmak, bedenî gücü var olmak;Being with the power to do business, being physical power
Eli bol;Cömert, esirgemeyen, çok para ve eşyası olan;Generous, with a lot of money and goods
Eli boş dönmek;Umduğunu alamadan geri dönmek;Go back before you get what you hope
Eli çabuk;Süratli iş gören;Fast -breaking
Eli darda;Geçimi için para sıkıntısı çeken;Suffered money for a livelihood
Eli hafif;İncitmeden, can yakmadan iş gören;Working without hurting, without hurting
Elinden tutmak;Destek olmak, ilerlemesi için yardımda bulunmak;To support, to help to progress
Eline düşmek;Birine muhtaç olmak;Be in need of someone
Elini çabuk tutmak;Hızlı davranmak, acele etmek;Being fast, hurry
Elini kana bulamak;Birini öldürmek veya yaralamak;Killing or injuring someone
Elini kolunu sallaya sallaya gezmek;Pervasızca, çekinmeden, kimseden korkmadan dolaşmak;Recklessly, without hesitation, without fear of anyone
Elini sıcak sudan soğuk suya sokmamak;Çok nazlı olmak, evde hiçbir iş yapmamak, zor işlerden kaçınmak;Being very coy, not doing any work at home, avoiding difficult jobs
Eli sıkı;Kolay para harcamayan, cimri, çok tutumlu;Don't spend easy money, stingy, very frugal
Eli uzun;Hırsız, fırsat buldukça bir şeyler aşırmaktan geri kalmayan;The thief does not fall behind from crossing something as long as he has the opportunity
Eli varmamak;Bir işi yapmaya gönlü razı olmamak;Not to be willing to do a job
El kadar;Küçük, küçücük;Small, tiny
El oğlu;Yabancı;Foreign
El üstünde tutulmak;Çok değer verilip sevilmek, kendisine büyük ölçüde saygı gösterilmek;To be very valued and loved, to be greatly respected
Emir kulu;Kendisine emredilen işi yapmak zorunda olan kimse;The person who has to do the job ordered to him
Enine boyuna;Her yönü ile, eksiksiz, bütün ihtimalleri göz önünde tutarak;In every aspect, complete, considering all the possibilities
Esip savurmak;Bağırıp çağırmak, öfke ile atıp tutmak;Shouting and holding it with anger
Eski defterleri karıştırmak;Eski olayları, işleri bir çıkar umuduyla tekrar ele almak, yeniden gündeme getirmek;Re -addressing old events, re -on -the -agenda
Eski hamam eski tas;Hiçbir şey değişmemiş, eski durumda kalmış;Nothing has changed, it is in the old situation
Eski kafalı;Yeniliğe açık olmayan, yaşayış ve düşünce itibariyle eskiye bağlı;It is not open to innovation, depending on the old in terms of life and thought
Eski toprak;Yaşlılığına rağmen dinçliğini, dayanıklılığını hâlâ sürdüren, gücünü kaybetmemiş kimse;Despite his old age, his vigor, his durability, who still continues his strength
Eşeğini sağlam kazığa bağlamak;İşini güvenli kılacak önlemler almak;Taking precautions to make your job safe
Eşiğini aşındırmak;Bir işi yaptırmak, gördürmek için bir yere çok gidip gelmek;To have a job to do a job to go somewhere to go a lot
Eşref saat;İş görecek kimsenin uysal davranacağı, aksilik çıkarmayacağı zaman;When no one will work will be docile, not settles
Etekleri tutuşmak;Çok telâşlanmak, heyecanlanmak;To be very pronounced, to be excited
Etekleri zil çalmak;Çok sevinmek, işler yolunda olmak;To be very happy, to be on the way to work
Etliye sütlüye karışmamak;Kendini ilgilendirmeyen meselelerden, toplumu derinden etkileyen olaylardan uzak durmak, kaçınmak ve hiçbiriyle ilgilenmemek;Avoiding issues that do not of interest to itself, events that affect society deeply, avoid and not be interested in none
Et tırnak olmak;Sıkı bir ilişkiye girmek, birbirinden kopmamak;To have a strict relationship, not to break with each other
Ettiğini bulmak;Yaptığı bir kötülüğün cezasını görmek;Seeing the punishment of an evil he does
Evdeki hesap çarşıya uymamak;Önceden tasarlanan, düşünülen bir iş umulduğu gibi gitmemek, başka bir yönde gelişmek;In advance, a job that is thought to be thought to go as expected, to develop in another direction
Eyvallah etmemek;Minnet altına girip boyun eğmemek;Not to go under gratitude and not to submit
Faka basmak;Tuzağa düşmek, aldatılmak;Falling into the trap, being deceived
Falso vermek;Açık vermek veya kusurlu bir durumu olmak, kusuru açığa çıkmak;To give a deficit or to be a defective situation, to reveal the defect
Fareler cirit oynamak;Bir yer ıssız olmak, kimseler bulunmamak;Being a place to be deserted, not being there
Feleğin çemberinden geçmek;Hayatta çok günler görmüş, acı tatlı olaylar yaşayıp tecrübe kazanmış, olgunlaşmış;He has seen a lot of days in life, experienced bitterly sweet events and gained experience, mature
Fellik fellik aramak;Telâşla, hemen her köşeye bakarak heyecanla aramak;Call out with excitement by looking at almost every corner
Ferman dinlememek;"Kural, yasa, söz dinlememek; hiçbir yerden buyruk almamak";"Rule, law, not listening to words; not to command anywhere"
Fırıldak çevirmek;Düzen kurmak, hileli iş görmek;Establishing order, seeing fraudulent work
Fink atmak;Hiçbir şeye aldırmadan gönlünce gezip eğlenmek, şurada burada oynayıp zıplamak;Wandering and having fun, playing here and jumping around
Fiskos etmek;Birilerinin bulunduğu bir yerde birkaç kişi gizlice ve alçak sesle konuşmak;A few people in a place where someone is located secretly and talking in a low voice
Fitne sokmak;İnsanları birbirine düşürecek, aralarını bozacak davranışta bulunmak, sözler sarf etmek;To behave to disrupt people, to make words, to make words
Fiyat biçmek;Bir şeyin değerini belirlemek, para karşılığını tespit etmek;To determine the value of something, to determine the money for money
Fol yok yumurta yok;Ortada (bir konu ile ilgili) hiçbir belirti olmadığı hâlde varmış gibi bir kuşkuya düşmek;To fall into a doubt if there is no symptom (on a subject)
Foyası meydana çıkmak;Yalanı, dolanı, hilesi, kötü niteliği, kusuru ortaya çıkmak;Lie, Full, trick, bad quality, defect emerge
Gafil avlamak / avlanmak;Bir kimseyi hazırlıksız ve habersiz bir anında yakalamak, güç duruma düşürmek, güç durumundan yararlanmak;Catching a person at a moment of unprepared and unaware, making it difficult, taking advantage of the difficulty
Gaflete düşmek;Dalgın, dikkatsiz, uyuşuk olmak;Being pensive, careless, drowsiness
Gam yememek;Kaygılanmamak, tasa etmemek, üzülmemek;Not to worry, not to worry, not to be upset
Gani gönüllü;Cömert, eli bol, vermekten kaçınmayan;Generous, plenty of hand, does not hesitate to give
Gâvur inadı;Yok edilemeyen, önüne geçilemeyen, yumuşatılamayan inat;Unable to destroy, prevent, cannot be softened
Gece kuşu;Geceleri gezip dolaşan, bunu huy edinen kimse;Who wandered at night and gets a habit of this
Geceyi gündüze katmak;"Ara vermeden, devamlı çalışmak; büyük çaba göstermek";"Working continuously without a break; make a great effort"
Geçti Bor’un pazarı (sür eşeğini Niğde`ye);fırsatı kaçırmak;miss the opportunity
Gel keyfim gel;Bir durumdan duyulan memnunluk, işlerin yolunda gitmesi;Satisfaction with a situation, things go well
Gel zaman git zaman;Aradan epeyce bir zaman geçtikten sonra;After a long time
Gemi azıya almak;Söz dinlemez olmak;Not to listen to a word
Geri durmamak;Bir işe girmekten kaçınmamak, o işe girişmek;Not to avoid getting a job, starting that job
Geri kafalı;Yenilikleri kabul etmeyen, bağnaz, kafası hurafelerle dolu;Bigoted, head full of superstitions, who do not accept innovations
Gık dememek;Hiç sesini çıkarmamak, yakınmamak, karşı çıkmamak;Not to make a sound, not to complain, not to oppose
Gına gelmek;Usanmak, bıkmak;Get tired of getting tired
Gırtlağına kadar borca girmek;Pek çok, ödenmesi zor olacak şekilde borçlanmak;Many, borrowing in a way that is difficult to pay
Göğsü kabarmak; İftihar etmek, övünç duymak; To pride, to be proud of
Göğüs germek;Bir zorluğa dayanmak, karşı koymak;To resist a difficulty, to resist
Göklere çıkarmak;Aşırı ölçüde övmek;Overdo
Gölge düşürmek;Bir şeyin önemini ve değerini azaltacak, ününü düşürecek işler yapmak;To do things that will reduce the importance and value of something and reduce its reputation
Gönlü bol;Yeterli imkânlardan mahrum olmasına rağmen eli açık davranan, cömert;Although he is deprived of sufficient opportunities, his hand behaved openly, generous
Gönlünden kopmak;Birine iyilik yapma ya da bir şeyi verme isteği, içinde aniden doğuvermek;The desire to do a favor to someone or to give something
Gönlü tok;Fazla para ve mal istemeyen, zorunlu ihtiyacı kadarı ile yetinen, imkânları az da olsa bunu hissettirmeyen, bu durumda dahi cömert olan;Who do not want much money and goods, is content with the need for compulsory, does not make the possibilities feel a little, even in this case generous
Gönül almak;Kırılan, gücenen bir kimseyi güzel söz ve davranışlarla yeniden hoşnut etmek;Recognizing a broken, offended person with good words and behaviors
Gönüllü gönülsüz;Pek de istekli olmayarak;Not very willing
Gönül yapmak;Hoşa giden davranışlarla veya sözle birinin kırgınlığını gidermek;To eliminate the resentment of someone with pleasant behaviors or words
Gövde gösterisi;Belli bir amaç için güçlerini birleştiren kalabalıkların yaptıkları gösteri;The demonstration of crowds that unite their powers for a certain purpose
Göz açamamak;İşlerinin yoğun oluşu sebebiyle başka bir şeyle ilgilenme imkânı bulamamak;Not being able to take care of something else because of their intense work
Göz açtırmamak;Baskı altında bulundurarak başka bir şeyle uğraşmasına fırsat vermemek;Not allowing him to deal with something else by having pressure
Göz atmak;"Kısaca, dikkatli değil de şöyle bir bakıvermek; üzerinde fazla durmadan elden geçirmek";"In short, not careful, but to look like this; overhaul"
Göz boyamak; Gösterişle aldatmak, bir şeyi iyi gibi göstermek, kandırmak, yanıltmak;Cheating with show, showing something like good, deceiving, misleading
Göz bebeği;Pek değerli, sevgili, çok önem verilen (kimse);Very valuable, dear, very important (nobody)
Gözdağı vermek;Korkutmak, tehdit etmek, istediğini yaptırmak için yıldırmak;To scare, threaten, intimidate to make what you want
Gözden çıkarmak;Bir malın elinden çıkmasına katlanmak, bir şeyden vazgeçmek ve yokluğuna razı olmak;To endure the exit of a property, to give up something and to consent to your absence
Gözden düşmek;Kendisine daha önce duyulan sevgi ve ilgiyi kaybetmek;Losing the love and interest in him before
Gözden ırak olan gönülden de ırak olur;Ayrı düşenlerin arasındaki sevgi de zamanla azalır;The love between those who falls decreases over time
Gözde tütmek;Çok özlemek, hasret çekmek;Missing a lot, longing
Göz dikmek;Bir şeyi ele geçirmek isteğinde olmak;To seize something
Göze almak;Bir iş nedeniyle karşılaşabileceği her türlü zararı ve tehlikeyi önceden kabullenmek;To accept any damage and danger that it may face due to a job
Göze batmak;Başkalarını aşırı söz ve davranışlarıyla tedirgin etmek;To make others uneasy with excessive words and behaviors
Göze çarpmak;Görünüşü ile dikkati üzerine çekmek;Draw attention with his appearance
Göze girmek;Yetenekleri ve davranışları ile çevresinde, bulunduğu yerde sevgi ve güven kazanmak;With their abilities and behaviors, gaining love and confidence in their surroundings, where they are located
Göze göz, dişe diş;"Misilleme; aynı biçimde kötülük yapıp öç alma, kötülüğü yapandan acısını çıkarma";"Retaliation; In the same way, doing evil and revenge, taking the pain of the evil"
Göz göre göre;Apaçık şekilde, herkesin gözü önünde;Obviously, in front of everyone
Göz gözü görmemek;Dumandan, karanlıktan ya da yoğun tozdan hiçbir şey görülmez olmak;Being seen from smoke, dark or dense dust
Göz kararı;Gözle oranlanarak belirtilen miktar, gözle yapılan ölçme ya da oranlama;The amount specified by visible, visible measurement or proportion
Göz kırpmamak;Hiç uyumamak;Not to sleep at all
Göz kulak olmak;Korumak, bakmak, gözetmek;Protecting, looking, observing
Gözleri fal taşı gibi açılmak;Hayret, şaşkınlık ve öfke gibi sebeplerle gözleri iri iri açılmış olmak;Being opened big eyes for reasons such as amazement, astonishment and anger
Gözleri kan çanağına dönmek;Uykusuzluk, ağlama, kızgınlık ya da bir şeyin kaçması sebebiyle gözlerin çok kızarmış olması;Insomnia, crying, anger, or the escape of something, the eyes are too fried
Gözlerini (gözünü) kan bürümek;"Çok öfkeli, kinli olmak; her kötülüğü yapacak hâle gelmek";"To be very angry, hatred; come to every evil"
Gözlerinin içi gülmek;Çok sevindiğini gözlerinden ve yüzünden belli etmek;To show you very happy with your eyes and because
Gözleri yollarda kalmak;Özlemle beklemek;Long -stand
Göz ucuyla bakmak;Belli etmemeye çalışarak, başını çevirmeden göz kenarı ile yandan bakmak;Trying not to show, without turning the head to look at the side of the eye
Gözü açık;Uyanık, kurnaz, çıkarlarını iyi kollayan, becerikli, zeki;Awake, cunning, well -looking at his interests, resourceful, clever
Gözü açık gitmek;Çok istediği şeylere kavuşamadan ölmek;Dying before you get what he wants
Gözü açılmak;Yararlıyı yararsızı, iyiyi kötüyü ayırt edebilir duruma gelmek;To distinguish the useful, the good and the good
Gözü arkada kalmak;Kendisi ayrıldıktan sonra, bıraktığı şey veya kimse ile ilgili tedirginliği sürmek, merak etmek;After leaving, to drive the uneasiness about what he left or anyone, to worry
Gözü gibi sakınmak;Bir şeye aşırı derecede ilgi duymak, onu koruyup gözetmek, dikkatle muhafaza etmek;To be extremely interested in something, to protect and protect it, to keep it carefully
Gözü hiçbir şey görmemek;Heyecana, öfkeye ya da önem verdiği bir işe kapılıp başka hiçbir şeyle uğraşamaz duruma gelmek;To be able to deal with excitement, anger, or a job where he cares about, to be able to deal with anything else
Gözü ısırmak;Bir kimseyi sanki tanır gibi olmak;Being like knowing someone
Gözü kara;Cesur, atak, korkusuz, tehlikeli işlere tereddüt etmeden girebilen;Brave, attack, fearless, dangerous things without hesitation
Gözünde büyümek;Gözünde büyümek;Grow in the eyes
Gözüne girmek;Birinin sevgi ve ilgisini kazanmak;To gain someone's love and attention
Gözünü daldan budaktan esirgememek;Tehlikeli işlere girişmekten çekinmemek;Not to hesitate to engage in dangerous jobs
Gözünü dört açmak;Bir hileye düşmemek, aldanmamak için çok dikkatli olmak;Being very careful not to fall into a trick, not to be fooled
Gözünü kan bürümek;Birisini öldürecek kadar öfkelenmek;Getting angry enough to kill someone
Gözünü korkutmak;Yıldırmak, karşı duramaz hâle getirmek;Intimidation
Gözünün önünden gitmemek;Unutamamak, her an görür gibi olmak;Not to forget, to be like seeing at any moment
Gözünün yaşına bakmamak;Hiç acımamak, merhamet etmemek;Not to pity, not to have mercy
Gözü pek;Korkusuz, atılgan, cesur, tehlikelere aldırmayan;Fearless, Atılgan, Brave, Dangerous
Gözü sulu;En küçük sevinç ya da üzüntü karşısında hemen ağlayıveren, gözyaşlarını tutamayan;The smallest joy or sadness immediately crying, not having tears
Gözü tok;Elinde imkânlar olsun olmasın, mal-mülk veya paraya düşkün olmayan, cömert;Without the possibilities in hand, generous, not fond of goods or money, generous
Gözü tutmak;Güvenmek, beğenmek;Trust, like
Göz yummak;Kabahatlerini, kusurlarını hoş karşılamak, görmezlikten gelmek, bağışlamak;To welcome your misdemeanors, flaws, ignore, donate
Göz yummamak; Hoş görmemek, bağışlamamak;Not tolerate, not forgive
Gururunu okşamak;Bir kimseyi yüzüne karşı överek, becerilerini söyleyerek duygulandırmak;To touched someone by praising someone against his face, saying his skills
Gücüne gitmek;Bir söz, bir davranış bir kimsenin onuruna dokunmak, o kimseye ağır gelmek;A word, a behavior is to touch the honor of a person, to be heavy for anyone
Güllük gülistanlık;"Sorunları bulunmayan; neşe, bolluk ve huzur içinde olan yer";"Without problems; joy, abundance and peaceful place"
Günahını vermez;Çok cimri, eli sıkı;Very stingy, tight hand
Gün görmek;Bolluk, mutluluk, esenlik içinde huzurlu günler geçirmek;Spending peaceful days in abundance, happiness, well -being
Gün görmüş;Başından nice işler geçmiş, tecrübeli, görüp geçirmiş, çok yaşamış;Many things have passed from the beginning, experienced, saw and spent, lived a lot
Gün ışığına çıkmak;Aydınlanmak, açıklığa kavuşmak, anlaşılır olmak;To be enlightened, to be clarified, to be understandable
Gününü gün etmek;Eline geçen imkânları değerlendirmek, hiçbir şeyi dert edinmeyip hoşça vakit geçirmek;Evaluating the opportunities you get, spending a good time
Güvendiği dağlara kar yağmak;Güvendiği kimselerden yardım alamamak, güvendiği bir şeyin işe yaramadığı anlaşılmak;Not being able to get help from the people he trusts, to be understood that something he trusts does not work
Güven vermek;Kendisinin güvenilir bir kişi olduğu, kendisine itimat edilebileceği duygusunu uyandırmak;To awaken the feeling that he is a reliable person and can be relied on.
Haber uçurmak;Çabucak, gizlice haber göndermek;Quickly sending news
Hacet kalmamak;Gereği olmamak, lüzumu kalmamak;Not to be required, not to be required
Haddini bildirmek;etkisi dışındaki işlere karıştığı için sert bir karşılık vererek onu cezalandırmak, yola getirmek, uslandırmak, yetki sınırını bildirmek;to punish, bring, to the road, to report the limit of authority
Hafife almak; Küçümsemek, önem vermemek;To underestimate, not to care about
Hakkı geçmek; Birisinin payından bir başkası almış olmak; To have someone else's share of someone
Hakkından gelmek;Güç bir işi başarı ile sonuçlandırmak;Power to conclude a job with success
Hakkını vermek;Bir şeyin lâyıkıyla yapılması için ne gerekiyorsa ondan kaçınmamak;Not to avoid whatever it takes to do something worthy
Hakkını yemek;Birinin hakkı olan şeyi vermemek, onu kendisine maletmek;Not giving someone the right to give him to him
Hâle yola koymak;Düzenlemek, tertiplemek, iyi işler bir duruma getirmek;Organizing, organizing, bringing good work into a situation
Hâli vakti yerinde;Zengin, oldukça varlıklı, para durumu iyi;Rich, very wealthy, good money situation
Halka verir talkını kendi yutar salkımı;Kendi verdiği öğütlere kendisi uymaz;He does not comply with his own advice
Hangi dağda kurt öldü;Kendisinden hiç umulmayan, beklenilmeyen bir kimsenin olumlu davranışı görüldüğünde;When a positive behavior of a person who is never expected and unexpected
Hangi rüzgâr attı;uzun süre bir yerde görünmeyen kimse için kullanılır;Used for a person who does not appear somewhere for a long time
Hangi taşı kaldırsan altından çıkar;Hemen her işte parmağı vardır;He has a finger in almost every job
Hanım evlâdı;Nazlı büyütülmüş, zora gelmeyen, çıtkırıldım kimse;NAZLI MORE GROUNDED, NON -HAVE, CRUSHING NO
Hapı yutmak;Kötü bir duruma düşmek, zarar ve ziyana uğramak;Falling into a bad situation, harm and loss
Haram olmak;Bir şeyden gerektiği gibi yararlanamaz olmak;Being unable to take advantage of something
Harfi harfine;Tastamam, uygun, tıpatıp, gerçekte olduğu gibi;Tastam, appropriate, exactly, as in reality
Har vurup harman savurmak;"Hesapsızca, düşüncesizce harcamak; malını, parasını ölçüsüzce, bol bol harcayıp tüketmek";"To spend without accountless, thoughtlessly; to consume and consume your property, money"
Hastası olmak;Bir şeye çok düşkün olmak;Be very fond of something
Hatırı kalmak;Gücenmek, kırılmak;To be offended, to break
Hava basmak;Büyüklenmek, kibirlenmek, olduğundan fazla görünmeye çalışmak;To be grown, to be arrogant, to try to look more than it is
Havada kalmak;Sonuca bağlanamamak, bir iddia, dayanaksız olduğundan ispat edilememek;Not being able to conclude, a claim, not to prove it because it is unspoiled
Havadan sudan konuşmak;Öylesine, gelişigüzel, rastgele konuşmak;So, randomly talking randomly
Hava hoş;Şu ya da bu şekilde olması arasında bir fark olmamak;There is no difference between being or that way
Havanda su dövmek;Bir işle boşuna uğraşmak;Have a job in vain
Hayatını kazanmak;Çalışıp elde ettiği para ile geçimini sağlamak;Working and making a living with the money he gets
Hayat memat meselesi;Sonucu çok tehlikeli olan, ölüm kokan bir durum;The result is a very dangerous, death -smelling situation
Hazıra konmak;Hiçbir emek sarf etmeden, çaba göstermeden başkasının emeği ile ortaya çıkmış olan şeyden yararlanmak;To take advantage of what has emerged by the labor of someone else without any effort, without effort
Helâl süt emmiş olmak; İyi huylu, doğru yoldan sapmayan, temiz bir kişi;A good -natured, clean person who does not deviate from the right path
Hem suçlu hem güçlü;Gerçekte kendisi suçlu olduğu hâlde suç işlememiş gibi davranan ve karşısındakini suçlamaya çalışan kimse;In fact, even though he is guilty, he pretends that he did not commit a crime and tries to blame the other person
Her kafadan bir ses (çıkmak);Bir konu üzerinde herkesin istediği gibi, rastgele konuşması;On a topic, as everyone wants, random speech
Hesabını bilmek;Boş yere para harcamamak, tutumlu davranmak;Not to spend money in vain, to be frugal
Hesabını görmek;Alacağını ödeyip ilişkisini kesmek;Paying your receipt and cutting off
Hevesi kursağında kalmak;Çok istediği, imrendiği, kavuşmak dilediği şeyi elde edememek;Not being able to get what he wants, envy, to get what he wants
Heyheyleri tutmak;Çok kızıp sinirlenmek;Get angry and get angry
Hık demiş burnundan düşmüş;çok benzemek;be very similar
